	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7
5435	187	SCML1	-0.454271089417611	-2.6288522073729	-1.05766902544884	-0.886491049489931	-1.56771901655908	-0.98409816563681	0.00435284071449537	1.89911843423161e-82	1.68442063212865e-11	7.75444061905797e-06	4.01071065801621e-19	1.9828577423527e-06
627	188	GCLM	-0.501051515704906	-1.88592256292416	-2.28421131527071	-1.72076316811835	-1.6968207706792	-1.66739779646736	0.00146544281480036	2.36902017177854e-45	2.1888461187346e-67	5.01735543135403e-24	4.88538327036825e-27	1.01083037383798e-21
5936	188	FGFR1	0.131843586950672	-0.434607243789405	-1.81695582953704	-2.16090266607426	-0.717577428653235	-0.0648987851046815	0.508116910725739	0.00983309696405765	1.60546248472569e-35	2.16676164450462e-36	0.000204809236726483	0.828863680844091
12322	188	ACTN4	0.950641667457504	0.859796450044492	1.16359830590847	0.969082210629975	0.349450565470622	0.227527421301648	7.16613885480389e-36	4.6124676016125e-28	2.49887277190205e-43	4.19108102090505e-20	0.00039611932831586	0.0455222277655864
2760	189	COPB2	-1.29894126122264	-2.10686000063641	-0.634742350614275	-0.659072831999245	-0.804087489632808	-0.316642414489583	4.38485965086803e-30	1.33611393538246e-81	1.74566124834437e-06	0.000192683738090226	1.21460294797416e-07	0.125712742148647
4837	189	IL6	-1.74801482711334	-0.0738917733736774	-0.674123709450187	-0.170279332197072	0	-0.0843769979607037	1.19014699881094e-35	0.0987034709874163	3.60366399545524e-09	0.0472207518432927	1	0.165614208587674
12457	189	SNRPD2	-0.231094363447112	1.00148721667952	0.767348879564422	0.844150304941844	1.33849789162859	1.21965956266837	0.00133257343097058	3.75751124213549e-37	4.10682804431649e-22	3.86671012937906e-16	5.80602407800346e-38	9.17964762063858e-27
1180	190	CENPF	0.871002901060024	1.27064526726805	3.10988356968099	0.290858857816882	0.39165276353757	0.554167968135274	2.55830486576864e-12	1.35305202001508e-21	6.66377850299528e-67	0.114155918942118	0.0193003349759161	0.00298299309504176
6594	190	POLE3	-0.118181823981336	-1.49637143385366	0.138205124576456	-0.614534160928151	-1.72467454359444	-1.54981265960325	0.489209565747696	4.55087172646194e-37	0.429687755645477	0.000977405854400597	9.66654988536854e-38	1.31864254186851e-24
10014	190	RPS15A	-0.507468361248784	0.714414708935361	0.0659700298571118	0.208753359855149	0.239709483581202	0.228872691933705	1.30146230617712e-35	4.03992687480702e-57	0.184261569358955	0.000392658097467648	3.73845229354751e-05	0.000341359655675291
11799	190	RPS15	0.381872706568577	0.905441373852811	0.0865232737985952	0.155363099617046	0.675798373165382	0.750099509666554	1.97836070864081e-18	1.52388506069153e-81	0.0822123694191463	0.0128376442086106	2.58097927436247e-30	6.01451276199677e-31
2630	191	CCDC80	-0.0736041982072593	1.70983100744631	-1.37973256220756	-1.40551220373806	1.78144615685645	3.20447265875298	0.609044706560787	1.34115356498879e-34	2.85130912334965e-42	1.16082155652033e-30	8.06269846006366e-24	8.54537988273521e-39
3817	191	SKP1	-0.049145892550612	-1.41521100608882	-0.546296348231217	-0.280077890785065	-0.54535004493966	-0.351664286521913	0.654537835380438	2.55230497763601e-81	1.89385325971253e-11	0.0176443500738815	2.7113399230996e-08	0.00276339209154174
9394	191	TNFAIP2	-1.55735328017426	0.188229212009664	0.461920852102171	0.697195756373765	-0.295438845925602	-1.42201596879699	1.31021190450867e-35	0.258136944237341	0.00633326272469193	0.00284572067733912	0.129685646275776	3.96456226255511e-17
2900	192	PSMD2	-0.795408365342214	-0.462331555245172	-1.2224162416761	-1.57252850717362	-0.934412529054126	-0.980357965119365	7.7651094925775e-14	7.39020242026627e-05	1.53890334167411e-30	6.67938211827859e-36	5.02822969254609e-13	4.63528787894616e-12
4164	192	HIST1H1A	-0.489091298417231	0.0151472328643955	-0.307968282676957	-1.013375315872	-1.49250088656344	-2.27395260643913	2.90966890244598e-05	0.817758021346948	0.00497108584020487	4.18617930868659e-09	3.15409318992421e-20	1.50564071275406e-38
4916	192	INHBA	-1.65027722039081	1.59194181243653	-0.47102833333357	-0.8844663742198	0.0464596281466277	-0.301101376165271	2.46491682779752e-35	8.4096912249304e-22	0.00564900173784006	1.66475233081498e-05	0.869132631841548	0.210429680747105
6434	192	GDA	1.2040650184377	2.44966029232848	2.72428604110691	2.23257946360308	1.9276164607472	2.04296948707448	3.07112125933866e-22	2.2286258784441e-59	8.74800449730717e-67	1.31203470020517e-26	5.60488324897881e-28	1.77060202310014e-23
8474	192	CPM	0.214749953231784	1.15894510509125	-0.448105815741132	-0.446447595665554	-1.84682663399259	0.469024630815092	0.24002622646277	4.51351753268649e-13	0.00661101948733168	0.0494987180152167	2.18791937208427e-37	0.0632435394696744
679	193	GSTM3	-0.616460817117301	-1.4921355284393	-2.03576654147553	-1.70865166355296	-0.109051992781704	0.7226598260498	3.86277052828254e-06	1.20640434091558e-34	9.60975767065863e-67	4.53501459883424e-31	0.62272946037943	0.00157987401156723
1066	193	PTGS2	-1.69185460965498	0.936752760754482	-1.80528912399271	-0.871601265248745	0.920109158154217	1.04404082479114	2.67335675888914e-35	5.31000836089442e-10	1.03608355514381e-36	4.18295959650469e-05	1.42298759194383e-06	3.80690942987586e-07
1284	193	NID1	0.731678882159071	-2.36530792773931	-0.169033683603077	0.114287350995467	-0.224596070530797	1.00555668904726	1.987236420232e-06	6.51556137673428e-80	0.335598767992749	0.694590084068007	0.357765853867852	4.56060343951656e-06
3044	193	S100P	-0.0907339806134247	0	0	0	-1.52719354693356	-2.32357007478184	0.0758545548301835	1	0.999965452600789	1	2.10704524738111e-22	1.7752632655157e-38
5068	193	CDK6	0.326233164498156	1.55477186992523	1.02280040300581	1.21266777384774	1.84862131737488	0.898201049229931	0.000844967595681973	5.56530533448576e-44	1.30512841458385e-21	6.4305082094982e-17	3.54717897029161e-37	5.11639585619769e-10
1976	194	NCKAP1	-0.58188187564567	-1.12159153741387	-0.579593558769661	-0.553541706556205	-1.3971340660266	-1.84163198128154	6.66990513735607e-06	2.11300984815974e-20	1.97042079857877e-05	0.00269376187586197	6.70364973739096e-24	3.34661016321018e-38
3105	194	FAM114A1	-1.0467112301788	-1.00873819318365	-1.99078792039913	-2.00860942024476	-1.91381310416855	-1.30487802442165	1.31102625576255e-13	4.70855928293685e-12	1.77256018523698e-50	1.75135605679372e-35	1.24793445915418e-36	3.97354995663788e-13
10369	194	MAP1LC3B	-0.932887236186695	-1.30455732935789	-1.7849389309953	-1.18680139317312	-1.81132945168459	-1.34421806578468	1.16523109298517e-12	3.01166789672393e-24	6.67212080630844e-46	1.47566247969657e-12	4.29229977109256e-37	7.28266396553585e-16
1740	195	RPL31	0.000166889072867646	1.25503932989287	0.380917696115574	0.43083634182285	0.539841660583709	0.397601999461341	1	8.37836190490423e-80	9.8117946896082e-10	9.36193300886927e-08	3.6121907257638e-12	4.16004762944588e-06
2822	195	VEPH1	-0.179051776482483	-0.27812125213939	-1.80051039503543	-2.21099573027496	-0.0331812091686897	-0.708280355277277	0.0395078937749696	0.0031632174641599	2.28700342616265e-33	2.38124590572683e-35	0.665476668975256	3.34250334267374e-06
4342	195	MAPK13	-1.75689016568614	-0.41938909472816	-0.494529018223907	-0.328767829091674	-0.282228810569213	-1.49681195957504	4.07137640698925e-35	0.00018452128970575	5.41410337541218e-05	0.025781302073474	0.0224703240595631	1.93087034304957e-17
4907	195	ANLN	0.0487958661099874	0.131598296555945	0.512685314614528	-1.53082097615512	-1.77791007638593	-1.7734648423907	0.829324084945071	0.459180096243208	0.00201940343601598	6.80167009683969e-23	4.63321118193971e-37	6.50838134223515e-31
7803	195	ADK	-0.588936960306341	-1.06546142890172	-1.04375144972763	-1.00648656998922	-0.879603829917459	-2.04186483455753	8.55787973061457e-05	5.91522117259939e-14	1.24301736324613e-12	9.25073633241085e-08	5.43799960651302e-07	8.6338430423231e-38
4956	196	EGFR	-1.29226982960727	1.22743040257564	-0.391797246641724	-0.213813764596422	0.52665769780768	-0.43689499389177	4.93717106177436e-35	6.05273259475169e-17	0.00262986691208554	0.278469511479363	0.0027452259557547	0.0122104792189591
6113	196	YWHAZ	0.485166210030794	0.638341131126241	0.418580222122602	0.358204789090688	-0.626200152601999	-1.08668965183341	3.5122022339476e-11	4.73983757991568e-17	8.58100722179312e-08	0.00060210328316508	4.86095784525665e-14	2.54155416006478e-37
649	197	VCAM1	-0.0322215588378023	0	-2.22620326448684	-2.1598112232416	0	0	0.343896485828339	1	1.1458988441001e-51	5.83905964578108e-35	1	1
7461	197	APOC3	-0.0593491535861403	0	-0.0340338795317437	-0.0827356505515288	-2.07847219716211	-0.160857094567404	0.158951475062952	1	0.253867570674317	0.18041468772709	6.47576233517272e-37	0.0409565149507663
4075	198	FOXC1	-1.69224271918061	0.485933165661114	0.148265070840942	0.324835939980949	0.103861221932226	-0.377680650508395	8.19800633197964e-35	0.00193911190021872	0.414956940276376	0.211337301666964	0.723144554419395	0.129965435013066
5650	198	TCEAL3	-0.401171231608187	-1.11572149858277	-1.83076898279387	-1.34555473435893	-1.98769393040188	-1.26272021411709	0.0192245185135054	2.97029295570994e-13	5.73587533145917e-39	1.10753426501383e-12	7.52517988479807e-37	7.85081650509142e-11
7559	198	IDI1	-0.541649668675753	-2.31034316947005	-0.575523140563751	-0.215069752879948	-0.0763043143313114	-0.385108832591983	0.000308079865806756	3.2648396519183e-79	0.000177195136483264	0.396108439771134	0.765687253591573	0.0978360609245885
9834	198	SNRNP25	-0.0221666011477803	0.021308221910223	-0.319287183692808	-0.665143997795058	-1.29148242056978	-1.89888278054434	0.916968283548279	0.884354828822031	0.06327175133484	0.00123643199944006	2.68316647547779e-17	2.87242701938672e-37
2735	199	SRPRB	-1.24803847722425	-2.30938414386794	-0.678067714533793	-0.620926190525182	-1.20555548037789	-0.960623922826639	6.73841244884651e-22	5.85120740819842e-79	5.30096966961257e-06	0.00268193096742981	2.71836347628424e-14	4.32753277068475e-07
