	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7
7168	446	VPS51	1.22630646980005	1.09248120700347	1.30009327220258	1.06179725150251	0.989609387188637	1.14205060916606	7.36839641494047e-19	4.82937017158759e-14	1.25869553397457e-17	2.2251765951492e-07	1.79975840680137e-08	2.2773866677213e-08
1222	447	H3F3A	0.502942876232684	0.228988254580349	0.696490227981234	0.550277721662684	0.330316965237685	0.3121309702131	8.01661372412062e-19	9.21328370523138e-05	1.28890875385092e-29	1.09436803883562e-12	1.55023302889109e-05	0.000236711214632697
1404	448	DNMT3A	1.27797477635859	1.56105101297822	1.55312159679124	1.53971132564603	1.61379002032925	1.83880997243485	8.13059017936971e-19	7.36560862940149e-24	2.51497049802143e-22	2.32626704796807e-12	7.90432524872241e-17	4.1957887536533e-16
3489	449	NDUFS6	0.595710126326523	1.20931218517916	0.827445709123288	0.603889653498596	0.0683981152152862	0.118546029581823	1.72562692363875e-13	2.92778748590438e-41	1.03310673298505e-20	1.2877057299116e-07	0.58546126181902	0.37453493538252
4809	449	GLCCI1	1.31701031512123	1.16457920292058	1.58628490916782	1.32672965242447	0.912675811613231	1.10773635499115	8.76617618036191e-19	9.5590715121995e-14	5.3264646408367e-22	3.87273330352250e-09	2.73884863546733e-06	6.46372111096494e-07
3670	452	ZBED3	1.14834657804731	0.821165856812261	2.02755081432449	1.82395623764761	1.58503245194855	1.48628372872694	3.94308358482824e-15	4.82734592944502e-08	6.23011009361196e-36	9.03680486098635e-16	8.01769034426351e-16	3.60642102062305e-11
7064	452	SELENOH	1.03862441125726	0.144457460582118	0.578678968090418	0.546395092850815	0.705688620898211	0.499097692849341	9.821550951405e-19	0.229437749490244	2.11976694060648e-06	0.00114208349605744	2.44052785521611e-06	0.00341230115026838
9684	457	LOXL1	0.524014043381971	1.8502295024438	0.242618783999546	0.183349627935333	1.82094842602026	1.79998748909986	0.00051393611235359	6.19513703925093e-32	0.120938046220321	0.435815287788278	2.62091029887461e-20	4.09655709810576e-15
11447	459	C20orf27	0.623188982598499	1.77279570728982	1.39876529317157	0.94549967290475	0.479348021840134	0.315748280503592	2.6356677667966e-08	1.01997250739529e-40	5.33831688664603e-27	1.23063647494073e-08	0.00104992672778953	0.0638264681858501
8172	460	EMP1	0.821965006840277	0.220845599625501	1.29961256635676	1.40356516739983	1.49983703903446	0.341374319952163	1.06814380605828e-12	0.064256312686415	3.50684018411452e-23	2.62347531299471e-15	2.92538732242274e-20	0.0492833870708828
11021	466	SNHG25	1.18971432789861	1.41472946635064	1.21795718099756	1.04986040850971	0.471078082412077	0.967784537862032	2.85183953541159e-18	1.0257548513858e-21	4.01575567610475e-16	2.78814287042482e-07	0.00550217218516256	9.42413957417857e-07
