	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	logFC.vs.1	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7	FDR.vs.1
3602	191	PLK2	-1.93404594282208	0.234326822915744	0.244224375243901	-0.00121409259502632	0.0927773483549498	-0.0927773483549498	-0.467978979416551	5.68660830151634e-27	0.357799201778911	0.357429329720728	1	0.919975578158851	0.919975578158851	0.0289500596090562
8517	191	DUSP6	-0.976112670951628	-2.523002621724	-1.15728540684754	-0.761077518281903	0.460933541112163	-0.460933541112163	-1.33829777949914	3.19140348155459e-05	1.14359199277112e-34	6.66133595295232e-07	0.0108956124791236	0.309965623960099	0.309965623960099	1.03722238523793e-09
3928	192	SLC26A2	-0.566195266666416	0.973555317282057	2.33153895810557	2.04651760228751	0.457702783797961	-0.457702783797961	1.17401360736182	0.000413685428502473	2.32077668060989e-08	6.09620339606803e-33	6.06466320869e-18	0.0906223874584399	0.0906223874584399	1.34019637240242e-12
4164	192	HIST1H1A	1.7848613080219	2.28909983930353	1.96598432376217	1.26057729056713	0.78145171987569	-0.78145171987569	2.27395260643913	5.29662244974485e-21	5.09665099046307e-33	1.52848907439126e-22	4.35689081241283e-07	0.0026221956263377	0.0026221956263377	1.50564071275406e-38
12081	192	CYP4F3	1.95372259350452	1.95372259350452	1.95372259350452	1.77890735893355	1.27712004125175	-1.27712004125175	1.95372259350452	7.10014690333325e-27	2.75188890269647e-24	2.82164618239377e-23	3.06374533232366e-11	2.99395372472773e-06	2.99395372472773e-06	3.87514122110608e-29
11938	193	MUC16	0.986846147050577	1.35679140714819	1.35679140714819	1.35679140714819	1.23969871431652	-1.23969871431652	1.30312520415919	6.99772779358814e-06	4.6667981820249e-13	1.73170530918041e-12	1.16992464430112e-07	3.2565911483606e-06	3.2565911483606e-06	9.77579187140325e-13
1976	194	NCKAP1	1.25975010563587	0.720040443867672	1.26203842251188	1.28809027472534	0.444497915254939	-0.444497915254939	1.84163198128154	4.09450940875558e-19	3.92606412388135e-07	1.38245500288675e-17	8.85806309527209e-13	0.0332225243653639	0.0332225243653639	3.34661016321018e-38
7566	194	AKR1C1	2.06041027405376	-1.1459473234124	-0.287792473760088	-0.277368263843003	-0.563175658474109	0.563175658474109	2.05004038205418	7.42730804959571e-27	6.77302704048308e-11	0.17688082263803	0.311078660911183	0.0347098493754887	0.0347098493754887	1.67473084279801e-28
7791	194	PPP3CB	0.956794219047541	1.08119413247395	0.444428662213616	0.281078385014886	1.2616049586934	-1.2616049586934	0.65685775498798	1.36021335990703e-05	9.28666951428038e-07	0.0711397428982799	0.398516731138776	3.67570677112904e-06	3.67570677112904e-06	0.0033187309121879
10413	194	AC129507.4	0	-2.72735662179944	-0.305352285432614	-0.286818228843071	0	0	0	1	4.63910086143099e-34	0.0257926648648343	0.0634243957351945	1	1	1
