	mean	total	bio	tech	p.value	FDR
LMNA	5.52266797179871	15.6001854621942	1.98283588120339	13.6173495809908	1.2694882885813e-05	0.00055279301912679
MX1	1.43353901122073	10.4852548261062	1.97795893791391	8.50729588819234	2.84393818011321e-11	4.93722636163337e-09
TUBA1C	6.14610084530436	14.4556871088486	1.96297794471776	12.4927091641309	2.97531127746126e-06	0.000179252315044858
STMN1	5.15325379306177	16.3151043618833	1.94819860649866	14.3669057553847	4.17142975528265e-05	0.00131669483711003
DST	5.76705341112153	15.2004068416501	1.94240690075263	13.2579999408975	1.13736918591428e-05	0.00051488468427199
ITGA3	5.43471999381799	15.6759528570268	1.93978000140589	13.7361728556209	2.15785637652655e-05	0.00081578100377912
HIF1A	4.84574160464669	16.7138900349701	1.93242468011024	14.7814653548598	7.26523770216654e-05	0.0019690402525116
POSTN	1.6408913518318	11.3742561137653	1.93221795033722	9.44203816342809	3.06058191560578e-09	3.95895272495125e-07
EIF3G	5.47412540800615	15.5969972372269	1.92192821467378	13.6750690225531	2.33826748568906e-05	0.000859362150590011
MARCKS	6.21970627491106	14.2626844901379	1.91716194397497	12.345522546163	3.77210142386605e-06	0.000221196027495505
PPME1	3.59405933260377	16.5656516757404	1.91676070457775	14.6488909711627	7.1729077754649e-05	0.00196347189189801
ZFP36L1	7.17623664180202	12.7536811058271	1.91314506623663	10.8405360395905	2.14361199432412e-07	1.80145329000716e-05
BLVRB	3.18425823739973	16.0082759951729	1.90914672273399	14.0991292724389	4.26612742152938e-05	0.00133623763954512
LIMA1	5.38602338143593	15.7333446705119	1.90692761451411	13.8264170559978	3.18631951860887e-05	0.00110341994038125
RARRES2	1.10250477896277	8.76586355589273	1.89574758687843	6.8701159690143	7.87248252056516e-15	2.03665753679091e-12
HIPK2	5.4556473073109	15.5965768980927	1.89432661060971	13.702250287483	3.06537822251069e-05	0.00106996297004778
LOX	4.33731210951455	16.8739992136028	1.86413082654818	15.0098683870546	0.000149254807144835	0.00326578428767653
COL1A2	1.52874690583731	10.805052024114	1.86107815487642	8.94397386923756	1.76085942543963e-09	2.44555571150004e-07
RHOBTB3	6.79826934927531	13.2929794417203	1.85255879241207	11.4404206493082	1.58428683767333e-06	0.000107747837815783
CKS2	4.13764251075117	16.8483915230046	1.83135738579143	15.0170341372132	0.000189773074028114	0.00386996281101536
S100A16	6.63487080672706	13.4955915143483	1.81174139629389	11.6838501180544	3.88437620752934e-06	0.000224782717904132
APLP2	7.05745524420283	12.8396373920153	1.80733143071836	11.0323059612969	1.23104791927863e-06	8.68580013206538e-05
IL1B	1.39756461457087	10.1423959910437	1.80467070763567	8.337725283408	4.45996816383695e-10	6.46646373117195e-08
MPRIP	4.86999595781319	16.5567128714305	1.78363423600786	14.7730786354226	0.000215885544320413	0.00421360040201706
AHCY	4.9413587077814	16.510822309978	1.77226364352145	14.7385586664565	0.00022729632977768	0.0043643300650189
MT-ND6	6.47114348321672	13.6832692876882	1.77089956295168	11.9123697247365	8.71935705460839e-06	0.000418338898103647
FKBP5	4.66172107586325	16.6778342190547	1.7604543682736	14.9173798507811	0.000287018497222382	0.00509679953210244
HLA-C	4.56514650867388	16.7406411502589	1.74826111986992	14.992380030389	0.000331774165967483	0.00559773445751275
VEGFA	3.291923833577	16.0145139217551	1.74797898746204	14.2665349342931	0.000178568481987664	0.00372201034967653
PARP14	2.73749507228121	14.914014389575	1.7472343733786	13.1667800161964	5.81762460896808e-05	0.00170572753534944
TXNRD1	7.30049495785679	12.3825505526088	1.74334836694409	10.6392021856647	1.22461446116401e-06	8.68580013206538e-05
HAS1	1.53049392403952	10.6916377649241	1.73978214439262	8.95185562053153	1.53081451460874e-08	1.78739528369448e-06
ERRFI1	4.33324773791357	16.7424174363431	1.73258286612346	15.0098345702197	0.000374371622779403	0.00608687099729278
AMIGO2	2.77359390823038	14.9706966618272	1.71217030368573	13.2585263581415	8.68357015732301e-05	0.0022687331614994
MEG3	1.39461243594591	10.0333686864516	1.70952435404685	8.32384433240479	2.72062579028223e-09	3.58959366769838e-07
MYDGF	5.43709188478182	15.4337267300974	1.70155745922587	13.7321692708716	0.000153884473035823	0.00331756819809582
CEBPB	4.78606013350529	16.5124411041415	1.69734734756784	14.8150937565737	0.000408619775979623	0.00641824919556565
LAMA4	3.64677903441923	16.3900891057771	1.68851697654819	14.7015721292289	0.000397011870449294	0.00627943776430586
SPP1	1.0837961023703	8.45415522018181	1.67427615767661	6.77987906250519	2.10076279493232e-12	4.07609769357898e-10
LDHA	8.10322164788091	11.0981035988799	1.67195195537632	9.4261516435036	1.88763883450372e-07	1.62781090081321e-05
MGST3	6.03949456095165	14.3841443622848	1.67100263733806	12.7131417249468	6.7103321497202e-05	0.00186195757531162
SLC16A3	5.68621111573787	15.06216392006	1.66508140430591	13.3970825157541	0.000147761238563409	0.00323847472027512
NRP2	3.85909727917866	16.5429971236247	1.66486248507471	14.87813463855	0.000534264298330451	0.00745146210589004
DUSP1	6.14986904794709	14.1406889921421	1.65564790530699	12.4850410868351	5.87718177788178e-05	0.00171285997296408
CTGF	3.3353895398387	15.9671992501325	1.63903692922356	14.3281623209089	0.00041597535631611	0.00651826466892489
ATAD2	3.35056365066938	15.9791239401847	1.62885514420359	14.3502687959811	0.000454881928932684	0.00688072905459332
VCAN	4.26142874261926	16.6394722539698	1.62560932399878	15.0138629299711	0.00076307371962302	0.00935687235753358
LITAF	3.78231023047165	16.4603959004957	1.62540736960637	14.8349885308893	0.000672756948383783	0.0086767890293017
PRKDC	6.58452537816638	13.3793567047692	1.62361278003663	11.7557439247326	3.11502669232179e-05	0.00108442380418189
NR2F1	2.745009535543	14.7982396280808	1.61266211335581	13.185577514725	0.000182770941868571	0.00379163491668857
IGFBP2	1.59513880144518	10.8529113780343	1.61234216456961	9.24056921346465	2.84284943905239e-07	2.34428471867858e-05
UCHL1	5.51381675248162	15.2326153067748	1.60617290922684	13.626442397548	0.00029127091274798	0.0051365432691777
SELENOM	3.52116698452376	16.1726730077649	1.59401248531487	14.57866052245	0.000687874260136983	0.00877738200023922
F3	2.72841507888766	14.7365204857297	1.59220248928459	13.1443179964451	0.000207015857891604	0.00410115199552827
S100A13	5.28377403463013	15.6379126323538	1.584918888566	14.0529937437878	0.000489243997189833	0.00707422139092614
DKK1	2.27630530502837	13.4422483804297	1.58416847959364	11.8580799008361	5.25445819888929e-05	0.00156849143611189
ADIRF	1.49249380364391	10.3609054843314	1.58058107333095	8.78032441100043	1.29233158817605e-07	1.14436395801307e-05
HEG1	3.19924790598308	15.7051303089701	1.57967597655996	14.1254543324101	0.000537896372242381	0.00746913444595688
PRKCSH	4.31685130914351	16.5849790325792	1.57490261336378	15.0100764192154	0.00105231915385416	0.0114368195353804
PAPPA	2.46166701598531	14.0040444418557	1.57265063151664	12.431393810339	0.000116084370098424	0.00273015539942711
HDGF	6.19733233000754	13.9476244817856	1.55800154056179	12.3896229412238	0.000126072680568564	0.00289287469116805
ANKRD1	2.43056458988277	13.8898813441605	1.55295508855575	12.3369262556047	0.000124324917797665	0.00287275475555586
CD59	5.50635543203407	15.1807137009529	1.54621175798648	13.6345019429664	0.000459601680447076	0.00689089155888491
CEBPD	4.33534372049239	16.5533568848483	1.54350991112623	15.009846973722	0.00128086812976961	0.0127738277431445
GOLGB1	5.62954224248958	15.008225192113	1.52433635341423	13.4838888386987	0.000476317070346297	0.00701398150239848
EIF4EBP1	5.12988090859011	15.9331732910221	1.51259819238368	14.4205750986385	0.00105545023924761	0.0114519822834152
EFEMP1	3.88870793183337	16.4027562883647	1.51045008940694	14.8923061989578	0.00145977847371852	0.0138036752554302
DEK	7.57941413290327	11.6863627524853	1.49320223760626	10.1931605148791	1.13984139058209e-05	0.00051488468427199
IFITM2	3.87715259462834	16.3725559531828	1.48574517931956	14.8868107738632	0.00169415541955872	0.0149716588115591
FLNB	5.97248263329071	14.3289657385509	1.47628807855327	12.8526776599976	0.000396629806474424	0.00627943776430586
GADD45GIP1	6.98221524744758	12.6275372623475	1.47484411175999	11.1526931505875	6.12871072845947e-05	0.00175788565061658
TSPAN13	2.56822650665028	14.1965834966949	1.46805780666159	12.7285256900333	0.000377967898533213	0.00611128685146954
CD99	3.64760893238	16.1650905176794	1.46263582891431	14.7024546887651	0.00174434204332409	0.0152632267457048
COTL1	5.73246987569606	14.7782173581429	1.45876483578595	13.3194525223569	0.000675689837385117	0.00869021985733762
CKAP4	4.53670353436526	16.4275048543233	1.41896782385893	15.0085370304643	0.00271126082338063	0.0200517798787467
SEC14L1	4.88591171903852	16.1821230727355	1.4125877656686	14.7695353070669	0.00246161426422724	0.0189349614932774
PLAT	1.62572546730248	10.7835669809187	1.40794202112763	9.3756249597911	7.22315041282119e-06	0.000365142707075719
PSAP	5.29808082164624	15.4209502959438	1.40173293340994	14.0192173625338	0.00166597128141697	0.0148118767432719
SMARCA4	4.98831555949478	16.0816143249212	1.39598380300544	14.6856305219157	0.00259170920154904	0.019528847061815
TPM4	7.5557865240649	11.6246255222513	1.3943064427321	10.2303190795192	3.85187109653788e-05	0.00125485400611656
IER3	3.30335514112693	15.6733726290333	1.39070817396431	14.282664455069	0.00211079757425634	0.0171324352546842
CDKN3	3.17006214199957	15.4595524807774	1.38671439580485	14.0728380849725	0.00190026521341286	0.0161530583683143
ETFB	5.06037073283602	15.9494744059497	1.38286846476121	14.5666059411885	0.00262003503321129	0.0196516592587864
MYL9	3.72457617661167	16.1607998580091	1.37254769780905	14.7882521602001	0.00315182114836096	0.022024533051561
CD55	2.54202317907654	14.026664631215	1.36999819226371	12.6566664389513	0.000765349214734556	0.00937606085348907
BASP1	5.3699213303324	15.2291574674017	1.36990095258467	13.8592565148171	0.00184848240428219	0.015867844399544
TIMP2	5.62199256414416	14.858463294289	1.36377772839047	13.4946855658986	0.00150968771250921	0.0140109333487721
CAV1	7.25124364237703	12.0788917732541	1.35990970560129	10.7189820676528	0.000111558537147365	0.00264654887709975
HLA-B	4.74970509789717	16.2005274485797	1.35827792908379	14.842249519496	0.00352413758771828	0.0235908022995205
DUSP23	4.27473371216881	16.3701368785752	1.35743604578502	15.0127008327902	0.00386843293055017	0.025093463168967
PTGR1	4.06988645833756	16.3561733147703	1.3566192853144	14.9995540294559	0.00386031172721395	0.0250692369017825
C4orf3	4.93053921386462	16.0964575472535	1.34899266660917	14.7474648806443	0.00353664333839931	0.0236505180977397
SERPING1	2.16536031142019	12.8384772323484	1.34892651408064	11.4895507182677	0.000305693332196531	0.00531398922925037
ARL6IP1	2.94091764365293	14.978248751468	1.34462250475699	13.633626246711	0.0018853648150718	0.0160631449419863
ANXA5	6.54564652904134	13.1544379480832	1.34434829173963	11.8100896563436	0.000440292453885007	0.00677065109156036
ATP6V1G1	5.73139664976984	14.6623689208066	1.3410535996357	13.3213153211709	0.00156490590832978	0.014334429351718
CAMK2N1	2.21544251314719	13.0032424883382	1.3407203016352	11.662522186703	0.000392723154162357	0.00627311052786699
PPM1G	6.70348675860234	12.919880983961	1.33652362091274	11.5833573630483	0.000376159978099034	0.00609711885876984
PRDX2	5.57296062961462	14.8952827655093	1.33533551261803	13.5599472528913	0.00191092279923462	0.016186198224369
CCDC85B	5.30694526409472	15.3284089762959	1.32987218056319	13.9985367957327	0.00260473363699621	0.0195934182477355
SPATS2L	4.80263930361032	16.1262159974404	1.32204425115125	14.8041717462892	0.0042506459927277	0.0265670408470153
CCT6A	6.54464980644713	13.1315178803792	1.32004914282554	11.8114687375537	0.000541758501196054	0.00746913444595688
ASPH	6.07006354277067	13.963383814405	1.31392124295768	12.6494625714473	0.00116211703292304	0.0121017933168008
IL6ST	4.49172777691744	16.3376664162245	1.31241101591168	15.0252554003128	0.00500230606867581	0.0294119546658238
